"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1764,1523,2043
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",2015,1622,2502
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1689,1273,2239
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1187,880,1600
"285","Union Station Drive Northeast, Northeast Washington, Washington","5","2400 Martin Luther King Junior Avenue Southeast, Southeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1235,858,1777
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",596,408,870
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",873,629,1210
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",2003,1765,2271
"285","Union Station Drive Northeast, Northeast Washington, Washington","9","1400 Leegate Road Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1729,1398,2137
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1587,1248,2016
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1326,1023,1718
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1659,1360,2022
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1324,1015,1726
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1181,897,1553
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1213,940,1564
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1697,1331,2163
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1126,856,1480
"285","Union Station Drive Northeast, Northeast Washington, Washington","23","800 Whittier Place Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1485,1194,1846
"285","Union Station Drive Northeast, Northeast Washington, Washington","24","600 Whittier Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1388,1104,1744
"285","Union Station Drive Northeast, Northeast Washington, Washington","25","1300 Somerset Place Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1478,1170,1866
"285","Union Station Drive Northeast, Northeast Washington, Washington","26","6600 4th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1125,846,1494
"285","Union Station Drive Northeast, Northeast Washington, Washington","27","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1748,1386,2203
"285","Union Station Drive Northeast, Northeast Washington, Washington","29","700 Quackenbos Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1317,994,1744
"285","Union Station Drive Northeast, Northeast Washington, Washington","30","2800 Kanawha Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1597,1265,2015
"285","Union Station Drive Northeast, Northeast Washington, Washington","31","2500 Horse Stable Road, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1508,1182,1922
"285","Union Station Drive Northeast, Northeast Washington, Washington","32","200 Quackenbos Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1135,832,1548
"285","Union Station Drive Northeast, Northeast Washington, Washington","33","5900 Sligo Mill Road Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1115,763,1629
"285","Union Station Drive Northeast, Northeast Washington, Washington","34","3900 Livingston Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1898,1467,2455
"285","Union Station Drive Northeast, Northeast Washington, Washington","35","300 Oglethorpe Street Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1320,774,2248
"285","Union Station Drive Northeast, Northeast Washington, Washington","36","5400 42nd Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",2011,1546,2614
"285","Union Station Drive Northeast, Northeast Washington, Washington","37","0 Longfellow Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1061,755,1489
"285","Union Station Drive Northeast, Northeast Washington, Washington","38","0 Wisconsin Circle, Northwest Washington, Chevy Chase","3/26/2019 - 3/26/2019, Every day, Daily Average",1947,1549,2447
"285","Union Station Drive Northeast, Northeast Washington, Washington","39","Stage Road Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1600,1301,1966
"285","Union Station Drive Northeast, Northeast Washington, Washington","40","5700 14th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1552,1300,1852
"285","Union Station Drive Northeast, Northeast Washington, Washington","42","600 Jefferson Street Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1592,1083,2339
"285","Union Station Drive Northeast, Northeast Washington, Washington","43","5100 42nd Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1956,1564,2445
"285","Union Station Drive Northeast, Northeast Washington, Washington","46","5200 Nebraska Avenue Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1807,1376,2372
"285","Union Station Drive Northeast, Northeast Washington, Washington","49","800 Jefferson Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1396,1055,1846
"285","Union Station Drive Northeast, Northeast Washington, Washington","50","5500 1st Street Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",971,695,1356
"285","Union Station Drive Northeast, Northeast Washington, Washington","52","5200 Kansas Avenue Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1351,867,2103
"285","Union Station Drive Northeast, Northeast Washington, Washington","53","4800 Butterworth Place Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1805,1399,2328
"285","Union Station Drive Northeast, Northeast Washington, Washington","56","1300 Farragut Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1568,1299,1892
"285","Union Station Drive Northeast, Northeast Washington, Washington","59","200 Allison Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",892,625,1272
"285","Union Station Drive Northeast, Northeast Washington, Washington","60","200 Hawaii Avenue Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",804,580,1114
"285","Union Station Drive Northeast, Northeast Washington, Washington","62","4900 Derussey Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",2075,1598,2693
"285","Union Station Drive Northeast, Northeast Washington, Washington","63","4500 South Dakota Avenue Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1208,843,1730
"285","Union Station Drive Northeast, Northeast Washington, Washington","66","3100 Gates Road Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1770,1342,2332
"285","Union Station Drive Northeast, Northeast Washington, Washington","71","4500 40th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1909,1511,2411
"285","Union Station Drive Northeast, Northeast Washington, Washington","72","4800 4th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1297,890,1888
"285","Union Station Drive Northeast, Northeast Washington, Washington","74","800 Decatur Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1295,1040,1611
"285","Union Station Drive Northeast, Northeast Washington, Washington","76","4300 13th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1501,1328,1696
"285","Union Station Drive Northeast, Northeast Washington, Washington","77","600 Webster Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1238,970,1579
"285","Union Station Drive Northeast, Northeast Washington, Washington","78","4500 15th Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1514,1256,1824
"285","Union Station Drive Northeast, Northeast Washington, Washington","79","4900 Rodman Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1821,1404,2360
"285","Union Station Drive Northeast, Northeast Washington, Washington","83","Federal Hall, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1844,1466,2318
"285","Union Station Drive Northeast, Northeast Washington, Washington","84","3800 Windom Place Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1856,1477,2331
"285","Union Station Drive Northeast, Northeast Washington, Washington","85","3700 Warren Street Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1987,1677,2353
"285","Union Station Drive Northeast, Northeast Washington, Washington","86","3500 International Court Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",2070,1719,2491
"285","Union Station Drive Northeast, Northeast Washington, Washington","87","4200 Linnean Avenue Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1838,1379,2449
"285","Union Station Drive Northeast, Northeast Washington, Washington","88","1900 Varnum Street Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1137,796,1622
"285","Union Station Drive Northeast, Northeast Washington, Washington","89","4400 8th Street Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",860,665,1111
"285","Union Station Drive Northeast, Northeast Washington, Washington","91","4300 13th Place Northeast, Northeast Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1042,707,1534
"285","Union Station Drive Northeast, Northeast Washington, Washington","92","3800 Argyle Terrace Northwest, Northwest Washington, Washington","3/26/2019 - 3/26/2019, Every day, Daily Average",1888,1594,2234
