"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"285","Union Station Drive Northeast, Northeast Washington, Washington","1","7500 14th Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1930,1496,2489
"285","Union Station Drive Northeast, Northeast Washington, Washington","2","5300 43rd Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1938,1640,2289
"285","Union Station Drive Northeast, Northeast Washington, Washington","3","Massachusetts-39th Trail, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1531,1267,1849
"285","Union Station Drive Northeast, Northeast Washington, Washington","4","1600 21st Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1094,828,1444
"285","Union Station Drive Northeast, Northeast Washington, Washington","6","800 Mount Vernon Place Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",535,346,826
"285","Union Station Drive Northeast, Northeast Washington, Washington","7","1700 A Street Southeast, Southeast Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",756,587,972
"285","Union Station Drive Northeast, Northeast Washington, Washington","8","1600 North Portal Drive Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1914,1543,2372
"285","Union Station Drive Northeast, Northeast Washington, Washington","11","Joyce Road Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1537,1192,1981
"285","Union Station Drive Northeast, Northeast Washington, Washington","13","7400 9th Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1302,1074,1577
"285","Union Station Drive Northeast, Northeast Washington, Washington","14","1300 Dahlia Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1726,1307,2278
"285","Union Station Drive Northeast, Northeast Washington, Washington","16","700 Elder Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1333,1037,1712
"285","Union Station Drive Northeast, Northeast Washington, Washington","18","300 Carroll Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1147,943,1394
"285","Union Station Drive Northeast, Northeast Washington, Washington","19","500 Butternut Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1250,980,1593
"285","Union Station Drive Northeast, Northeast Washington, Washington","20","3200 Patterson Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1563,1344,1816
"285","Union Station Drive Northeast, Northeast Washington, Washington","21","400 Butternut Street Northwest, Northwest Washington, Washington","3/24/2019 - 3/24/2019, Every day, Daily Average",1121,928,1353
